Vehicle,Engine,Body,Drive,M,2a,CoG,c_D,A_F,E_b,h,A,C,D,FC US06,FC WLTC,E_f
Kia Soul EV,electric,Wagon,front wheel drive,1491.86530493,2.57048,0.56,0.29,2.2,30.0,0.23000000000000004,2300.529504316449,0.5861978643078021,2320.4126047342706,0.7281556794532867,0.447484183923824,0.0
smart EQ fortwo,electric,Hatchback,rear wheel drive,1071.83877031,1.87198,0.54,0.3,2.1,17.0,0.21000000000000002,1479.0785303639407,0.5787590443871784,1527.4537453461553,0.5050702333318945,0.30860131666357393,0.0
Volkswagen e-Golf,electric,Hatchback,front wheel drive,1568.97600783,2.6289,0.54,0.3,2.1,35.0,0.21000000000000002,2414.555488406484,0.5788457044275312,2438.17808305703,0.7587413212661079,0.4666619042791698,0.0
Ford Focus,electric,Hatchback,front wheel drive,1651.0762268,2.6492199999999997,0.54,0.3,2.1,33.0,0.21000000000000002,2540.009713317218,0.5788440532130404,2565.022991520037,0.7932370876071324,0.4880499549672642,0.0
Tesla Model 3,electric,Sedan,rear wheel drive,1725.9189678500002,2.87528,0.55,0.27,2.2,80.0,0.22000000000000003,2433.5547864344258,0.545706198364013,2503.0689130285414,0.7640110200575589,0.4701243642006072,0.0
Mercedes-Benz B-Class Electric Drive,electric,Hatchback,front wheel drive,1779.89645988,2.69748,0.54,0.3,2.1,28.0,0.21000000000000002,2735.961031906547,0.578841769397411,2763.335721808708,0.8471364913748373,0.5214644100006939,0.0
Mitsubishi i-MiEV,electric,Hatchback,rear wheel drive,1169.81472223,2.55016,0.54,0.3,2.1,16.0,0.21000000000000002,1641.4396149994343,0.5787635210008307,1689.3413992743608,0.5494841595883565,0.33618926755216044,0.0
Chevrolet Spark EV,electric,Hatchback,front wheel drive,1299.99573242,2.3749,0.54,0.3,2.1,18.0,0.21000000000000002,2010.4660093092205,0.5788525753174625,2028.1603569946944,0.6474831037026347,0.3977118802107207,0.0
smart fortwo,electric,Hatchback,rear wheel drive,949.82242278,1.8669,0.54,0.3,2.1,17.0,0.21000000000000002,1310.4808158409753,0.5787521782554663,1353.3245488489063,0.45833811765584076,0.27970849070173526,0.0
Audi A8,plug-in hybrid,Sedan,all wheel drive,2419.91529395,3.12674,0.55,0.27,2.2,12.0,0.22000000000000003,3560.9053550474255,0.27286875000000005,1814.9364704625,1.1515533747444473,0.6445379624998357,619.0
Audi Q5,plug-in hybrid,SUV,all wheel drive,2125.0802534500003,2.8194,0.52,0.35,2.6,14.0,0.19,3127.055592951676,0.4180312500000001,1593.8101900875004,1.0464863311503496,0.5797207297150525,550.0
Bentley Bentayga,plug-in hybrid,SUV,all wheel drive,2619.94952912,2.99466,0.52,0.35,2.6,14.0,0.19,3855.25573210008,0.4180312500000001,1964.96214684,1.2676332726831292,0.7025064891522862,712.0
BMW 5 Series,plug-in hybrid,Sedan,rear wheel drive,1934.11786568,2.97434,0.55,0.27,2.2,12.0,0.22000000000000003,2730.9172902019804,0.5457095676227968,2808.1352843757554,1.141606617189354,0.5778786046338917,435.0
BMW 7 Series,plug-in hybrid,Sedan,all wheel drive,2199.01580976,3.21056,0.55,0.27,2.2,12.0,0.22000000000000003,3235.85176406184,0.27286875000000005,1649.2618573200002,1.052837920549704,0.589728920477899,435.0
BMW i3,plug-in hybrid,Hatchback,rear wheel drive,1485.96860412,2.57048,0.54,0.3,2.1,11.0,0.21000000000000002,2085.8204936461075,0.5787739408754682,2146.642450871088,0.9066840809446713,0.4574681412207945,83.0
BMW i8,plug-in hybrid,Coupe,all wheel drive,1588.0268873700002,2.79908,0.52,0.26,2.0,10.0,0.19,2336.781564764955,0.23887500000000003,1191.0201655275,0.7735496031672321,0.43617961420545726,399.0
BMW X3,plug-in hybrid,SUV,all wheel drive,2080.17460882,2.8651199999999997,0.52,0.35,2.6,14.0,0.19,3060.97693687863,0.4180312500000001,1560.1309566149998,1.026418918490639,0.568578850536055,475.0
Ford Fusion Energi,plug-in hybrid,Sedan,front wheel drive,1808.01918682,2.8498799999999997,0.55,0.27,2.2,12.0,0.22000000000000003,2773.792530100106,0.5457646675973721,2801.757108302896,1.1508112215528565,0.5839625939218388,503.0
Honda Clarity,plug-in hybrid,Sedan,front wheel drive,1837.95628324,2.7508199999999996,0.55,0.27,2.2,12.0,0.22000000000000003,2824.051433657546,0.5457642250566538,2851.570852702713,1.1693538837373587,0.5934214919314305,252.0
Hyundai Ioniq Plug-In Hybrid,plug-in hybrid,Hatchback,front wheel drive,1549.92512829,2.70002,0.54,0.3,2.1,11.0,0.21000000000000002,2382.3614972218993,0.57884611258955,2406.2759099198342,1.0114582223220163,0.5118877203374127,410.0
Kia Optima Plug-In Hybrid,plug-in hybrid,Sedan,front wheel drive,1723.19741363,2.80416,0.55,0.27,2.2,12.0,0.22000000000000003,2645.499015244671,0.5457660049713923,2671.7903650353096,1.1030974917513607,0.5597030169725065,521.0
Land Rover Range Rover,plug-in hybrid,SUV,four wheel drive,2501.56192055,2.921,0.52,0.35,2.6,14.0,0.19,3681.0483660893256,0.4180312500000001,1876.1714404125,1.2147282756711635,0.6731324440440207,863.0
Land Rover Range Rover Sport,plug-in hybrid,SUV,four wheel drive,2471.17123176,2.9235399999999996,0.52,0.35,2.6,14.0,0.19,3636.32846753484,0.4180312500000001,1853.37842382,1.2011472994267127,0.6655919803572238,867.0
Lincoln Aviator,plug-in hybrid,SUV,all wheel drive,2575.49747686,3.02514,0.52,0.35,2.6,14.0,0.19,3789.8445371994903,0.4180312500000001,1931.623107645,1.2477685611613951,0.6914771542074207,647.0
Mercedes-Benz GLC-Class,plug-in hybrid,SUV,all wheel drive,2066.11324535,2.87274,0.52,0.35,2.6,14.0,0.19,3040.285640532525,0.4180312500000001,1549.5849340125,1.0201351832133554,0.5650899792779858,626.0
Mercedes-Benz S-Class,plug-in hybrid,Sedan,rear wheel drive,2320.12497255,3.16484,0.55,0.27,2.2,12.0,0.22000000000000003,3283.9446314314905,0.5457142145765221,3375.1110636612207,1.4454574826579392,0.6827275896234467,759.0
Mitsubishi Outlander PHEV,plug-in hybrid,SUV,all wheel drive,1915.06698614,2.6695399999999996,0.52,0.35,2.6,14.0,0.19,2818.0210701050096,0.4180312500000001,1436.300239605,0.9526357042670522,0.5276127493122666,406.0
Polestar 1,plug-in hybrid,Coupe,all wheel drive,2345.0725529,2.74066,0.52,0.26,2.0,10.0,0.19,3450.77426159235,0.23887500000000003,1758.804414675,1.1790642207530722,0.6240159409705753,572.0
Porsche Cayenne,plug-in hybrid,SUV,all wheel drive,2342.35099868,2.8956,0.52,0.35,2.6,14.0,0.19,3446.76949455762,0.4180312500000001,1756.76324901,1.1435801762412772,0.6336294178639389,712.0
Porsche Cayenne Coupe,plug-in hybrid,SUV,all wheel drive,2388.16382805,2.8956,0.52,0.35,2.6,14.0,0.19,3514.183072975575,0.4180312500000001,1791.1228710375,1.1640529911769422,0.6449963855111986,712.0
Porsche Panamera,plug-in hybrid,Sedan,all wheel drive,2243.01426965,2.94894,0.55,0.27,2.2,12.0,0.22000000000000003,3300.5954977899755,0.27286875000000005,1682.2607022375,1.072499930933462,0.6006457111886339,759.0
Subaru Crosstrek,plug-in hybrid,SUV,all wheel drive,1686.00283929,2.66446,0.52,0.35,2.6,14.0,0.19,2480.953178015235,0.4180312500000001,1264.5021294675,0.8502716295887266,0.47077791107596584,475.0
Toyota Prius Prime,plug-in hybrid,Hatchback,front wheel drive,1526.33832505,2.70002,0.54,0.3,2.1,11.0,0.21000000000000002,2346.1066544195764,0.5788466320506452,2369.6638133082233,0.9979903510524328,0.5050368458751421,410.0
Volvo XC60,plug-in hybrid,SUV,all wheel drive,2103.76141206,2.8651199999999997,0.52,0.35,2.6,14.0,0.19,3095.6849178462903,0.4180312500000001,1577.821059045,1.036959377665437,0.5744311507108821,665.0
Volvo XC90,plug-in hybrid,SUV,all wheel drive,2315.58904885,2.9844999999999997,0.52,0.35,2.6,14.0,0.19,3407.389285382775,0.4180312500000001,1736.6917866375,1.1316208091006412,0.6269893080501929,665.0
Chevrolet Volt,plug-in hybrid,Hatchback,front wheel drive,1596.19155003,2.69494,0.54,0.3,2.1,11.0,0.21000000000000002,2453.6829024496246,0.5788451382412716,2478.2569728599155,1.0379467066753456,0.525363174097767,320.0
Kia Niro Plug-In Hybrid,plug-in hybrid,SUV,front wheel drive,1433.80548157,2.70002,0.52,0.35,2.6,14.0,0.19,2201.8317210933014,0.8361149837895648,2225.9201254834347,0.9919595159668633,0.4926279904926342,406.0
MINI Countryman,plug-in hybrid,Wagon,all wheel drive,1790.7826767600002,2.6695399999999996,0.56,0.29,2.2,12.0,0.23000000000000004,2635.1367088523402,0.29308125,1343.0870075700002,0.8741230439274673,0.48959989094209605,342.0
Volvo S90,plug-in hybrid,Sedan,all wheel drive,2076.99946223,3.0607,0.55,0.27,2.2,12.0,0.22000000000000003,3056.304708671445,0.27286875000000005,1557.7495966725,0.9983113144339225,0.5594545214965824,572.0
Audi A3 Sportback e-tron,plug-in hybrid,Hatchback,front wheel drive,1640.1900099200002,2.6289,0.54,0.3,2.1,11.0,0.21000000000000002,2524.149362844131,0.578844262651731,2548.8236835115795,1.064042936208587,0.5386546615127354,381.0
BMW 3 Series,plug-in hybrid,Sedan,rear wheel drive,1769.0102430000002,2.80924,0.55,0.27,2.2,12.0,0.22000000000000003,2491.865657804429,0.5457069607857156,2563.5942767054157,1.0523783837715217,0.5325785110229342,388.0
BMW X5,plug-in hybrid,SUV,all wheel drive,2367.7521714,2.9337,0.52,0.35,2.6,14.0,0.19,3484.1473202151,0.4180312500000001,1775.81412855,1.1549314399679833,0.6399318949752899,806.0
Cadillac CT6,plug-in hybrid,Sedan,rear wheel drive,2057.94858269,3.10896,0.55,0.27,2.2,12.0,0.22000000000000003,2910.8616429306317,0.5457112482651478,2992.0684470295137,1.2087530407780407,0.611972070400474,561.0
Hyundai Sonata Plug-in Hybrid,plug-in hybrid,Sedan,front wheel drive,1717.7543051900002,2.80416,0.55,0.27,2.2,12.0,0.22000000000000003,2637.1426087737746,0.5457660953022182,2663.352307563496,1.0999933602730776,0.5581239801680573,521.0
Mercedes-Benz C-Class,plug-in hybrid,Sedan,rear wheel drive,1779.89645988,2.82956,0.55,0.27,2.2,12.0,0.22000000000000003,2507.9698241116853,0.5457071475567421,2579.9948697574005,1.058379469923781,0.5356272529920659,475.0
Mercedes-Benz GLE-Class,plug-in hybrid,SUV,all wheel drive,2474.79997072,2.91592,0.52,0.35,2.6,14.0,0.19,3641.6681569144807,0.4180312500000001,1856.0999780400002,1.2027689085305264,0.6664923342302747,755.0
Acura ILX,gas,Sedan,front wheel drive,1403.86838515,2.6695399999999996,0.55,0.27,2.2,0.0,0.22000000000000003,2159.973700340184,0.5457724893539029,2180.4989249661426,2.076418872885212,1.5123122436841092,475.0
Acura MDX,gas,SUV,front wheel drive,1828.88443584,2.8194,0.52,0.35,2.6,0.0,0.19,2803.3617820979593,0.836103645446225,2834.9269636832987,2.743765834221079,1.9677031316720903,701.0
Acura RDX,gas,SUV,front wheel drive,1733.17644577,2.7508199999999996,0.52,0.35,2.6,0.0,0.19,2659.4212468286014,0.8361059176928146,2688.848458838149,2.6250601254089725,1.8793216178365693,615.0
Acura RLX,gas,Sedan,front wheel drive,1803.93685549,2.8498799999999997,0.55,0.27,2.2,0.0,0.22000000000000003,2767.5295765700253,0.5457647290819471,2795.431994786264,2.5770862801330345,1.8852212836610065,665.0
Acura TLX,gas,Sedan,front wheel drive,1609.3457287600002,2.77622,0.55,0.27,2.2,0.0,0.22000000000000003,2471.7881703922963,0.5457680216752655,2496.14808813688,2.3333860778009647,1.7037034708723953,619.0
Alfa Romeo 4C,gas,Coupe,rear wheel drive,1128.08422419,2.37998,0.52,0.26,2.0,0.0,0.19,1579.1594496369685,0.4777080774707937,1624.755701260252,1.5731416971044734,1.1444139163939644,378.0
Alfa Romeo Giulia,gas,Sedan,all wheel drive,1642.91156414,2.8194,0.55,0.27,2.2,0.0,0.22000000000000003,2417.54436663201,0.27286875000000005,1232.183673105,1.8843361356332404,1.5116221548316837,550.0
Alfa Romeo Stelvio,gas,SUV,rear wheel drive,1769.4638353700002,2.8194,0.52,0.35,2.6,0.0,0.19,2495.9397373677975,0.836015726232263,2564.507401513981,2.4996892325494637,1.782435761341276,608.0
Aston Martin DB11,gas,Coupe,rear wheel drive,1875.15085758,2.80416,0.52,0.26,2.0,0.0,0.19,2644.4227490692774,0.47772477846764916,2717.206900475924,2.454260571247812,1.799468109841144,737.0
Aston Martin Vantage,gas,Coupe,rear wheel drive,1498.66919048,2.7051,0.52,0.26,2.0,0.0,0.19,2110.2743694424635,0.4777184430649102,2168.914191186667,2.0123306919532924,1.470965519226391,694.0
Audi A3,gas,Sedan,all wheel drive,1549.92512829,2.63652,0.55,0.27,2.2,0.0,0.22000000000000003,2280.714826278735,0.27286875000000005,1162.4438462174999,1.7872800365937096,1.433448553316032,521.0
Audi A4,gas,Sedan,front wheel drive,1549.92512829,2.8194,0.55,0.27,2.2,0.0,0.22000000000000003,2378.9298487644337,0.5457691918946859,2402.73744911985,2.2569958583793506,1.6467569838926666,550.0
Audi A4 allroad,gas,Wagon,all wheel drive,1744.96984739,2.81686,0.56,0.29,2.2,0.0,0.23000000000000004,2567.723130434385,0.29308125,1308.7273855425,2.0003578455643334,1.6016144779318489,550.0
Audi A5,gas,Convertible,all wheel drive,1804.84404023,2.76606,0.53,0.31,2.1,0.0,0.2,2655.8280051984448,0.29905312500000003,1353.6330301725,2.0656583544886487,1.653189204565061,550.0
Audi Q3,gas,SUV,all wheel drive,1771.27820485,2.6797,0.52,0.35,2.6,0.0,0.19,2606.435878436775,0.4180312500000001,1328.4586536375,2.0865246359509335,1.6496462467095985,572.0
Audi Q5,gas,SUV,all wheel drive,1834.78113665,2.8194,0.52,0.35,2.6,0.0,0.19,2699.880442580475,0.4180312500000001,1376.0858524875,2.152806849929152,1.7030330965251648,665.0
Audi Q7,gas,SUV,all wheel drive,2169.98589808,2.99466,0.52,0.35,2.6,0.0,0.19,3193.13424902472,0.4180312500000001,1627.48942356,2.502682250857027,1.9848393966230544,809.0
Audi R8,gas,Coupe,all wheel drive,1655.15855813,2.6492199999999997,0.52,0.26,2.0,0.0,0.19,2435.565818288295,0.23887500000000003,1241.3689185975,1.881147372330861,1.5148679599765482,788.0
Audi RS 3,gas,Sedan,all wheel drive,1629.75738541,2.6314399999999996,0.55,0.27,2.2,0.0,0.22000000000000003,2398.187992630815,0.27286875000000005,1222.3180390575,1.8706062484520385,1.5005634502270322,521.0
Audi S3,gas,Sedan,all wheel drive,1569.88319257,2.6314399999999996,0.55,0.27,2.2,0.0,0.22000000000000003,2310.083117866755,0.27286875000000005,1177.4123944275,1.8081115895582902,1.4502272775437823,521.0
Audi S4,gas,Sedan,all wheel drive,1744.96984739,2.8194,0.55,0.27,2.2,0.0,0.22000000000000003,2567.723130434385,0.27286875000000005,1308.7273855425,1.9908611223839479,1.5974224491781304,550.0
Audi S5,gas,Coupe,all wheel drive,1749.95936346,2.76352,0.52,0.26,2.0,0.0,0.19,2575.0652033313904,0.23887500000000003,1312.469522595,1.9800972489126296,1.5945669000583578,550.0
Audi TT,gas,Coupe,all wheel drive,1450.1348068900002,2.50444,0.52,0.26,2.0,0.0,0.19,2133.8733683386354,0.23887500000000003,1087.6011051675,1.6671505100583293,1.3425047020005747,521.0
Audi TT RS,gas,Coupe,all wheel drive,1495.04045152,2.50444,0.52,0.26,2.0,0.0,0.19,2199.95202441168,0.23887500000000003,1121.28033864,1.7140215042286422,1.3802568315130124,521.0
Audi TTS,gas,Coupe,all wheel drive,1480.0719033100002,2.50444,0.52,0.26,2.0,0.0,0.19,2177.9258057206653,0.23887500000000003,1110.0539274825,1.6983978395052046,1.3676727883422002,521.0
Bentley Bentayga,gas,SUV,all wheel drive,2482.96463338,2.99212,0.52,0.35,2.6,0.0,0.19,3653.6824580186703,0.4180312500000001,1862.223475035,2.829358876892528,2.2479602992854884,809.0
Bentley Continental,gas,Convertible,all wheel drive,2414.01859314,2.8498799999999997,0.53,0.31,2.1,0.0,0.2,3552.22835980551,0.29905312500000003,1810.513944855,2.701494164293981,2.165321628152967,856.0
Bentley Flying Spur,gas,Sedan,all wheel drive,2437.15180401,3.1953199999999997,0.55,0.27,2.2,0.0,0.22000000000000003,3586.268879600715,0.27286875000000005,1827.8638530075,2.7133372547465187,2.179339112167812,856.0
Bentley Mulsanne,gas,Sedan,rear wheel drive,2711.1215954900003,3.26644,0.55,0.27,2.2,0.0,0.22000000000000003,3841.9224167012367,0.5457175726335189,3947.6350452084826,3.477234515604321,2.550135002314262,913.0
BMW 2 Series,gas,Convertible,rear wheel drive,1669.2199216,2.68986,0.53,0.31,2.1,0.0,0.2,2348.8505515278002,0.5980707794456978,2415.3223994973314,2.2666090722441647,1.642778698683009,493.0
BMW 2 Series Gran Coupe,gas,Sedan,all wheel drive,1602.99543558,2.6695399999999996,0.55,0.27,2.2,0.0,0.22000000000000003,2358.80778345597,0.27286875000000005,1202.246576685,1.8426730297040772,1.478064706376185,475.0
BMW 3 Series,gas,Sedan,rear wheel drive,1627.94301593,2.8498799999999997,0.55,0.27,2.2,0.0,0.22000000000000003,2294.553540995834,0.5457043146547337,2360.262532194856,2.197236588844269,1.598582388147745,561.0
BMW 4 Series,gas,Convertible,rear wheel drive,1831.15239769,2.80924,0.53,0.31,2.1,0.0,0.2,2581.511631217743,0.5980739159672136,2653.6236218204594,2.4589834273728837,1.78582190950789,568.0
BMW 4 Series Gran Coupe,gas,Sedan,rear wheel drive,1669.2199216,2.80924,0.55,0.27,2.2,0.0,0.22000000000000003,2351.2988771077685,0.5457051352089645,2418.9584302431426,2.244287448617884,1.6335188015607298,568.0
BMW 5 Series,gas,Sedan,rear wheel drive,1684.18846981,2.97434,0.55,0.27,2.2,0.0,0.22000000000000003,2378.0243664446416,0.5457054228358394,2445.2146190798226,2.2661300738767585,1.6498555601451959,647.0
BMW 7 Series,gas,Sedan,rear wheel drive,1925.04601828,3.21056,0.55,0.27,2.2,0.0,0.22000000000000003,2726.222753856988,0.5457094359990561,2801.5196342274617,2.5539590463055197,1.8639042858004768,741.0
BMW 8 Series,gas,Coupe,rear wheel drive,1783.97879121,2.8219399999999997,0.52,0.26,2.0,0.0,0.19,2516.507793984458,0.47772348958336047,2585.6250007677663,2.3483658222176627,1.7207764965527907,647.0
BMW 8 Series Gran Coupe,gas,Sedan,rear wheel drive,1933.21068094,3.0225999999999997,0.55,0.27,2.2,0.0,0.22000000000000003,2731.400639165788,0.5457095545160087,2808.2436624139423,2.558564816608725,1.8672077996486698,647.0
BMW ALPINA B7,gas,Sedan,all wheel drive,2202.1909563500003,3.21056,0.55,0.27,2.2,0.0,0.22000000000000003,3240.5239922690257,0.27286875000000005,1651.6432172625002,2.4680930630271174,1.981807767850218,741.0
BMW X1,gas,SUV,front wheel drive,1612.06728298,2.6695399999999996,0.52,0.35,2.6,0.0,0.19,2476.8134484591164,0.8361091797454858,2503.6219720549325,2.4744876331249426,1.7672058510487694,579.0
BMW X2,gas,SUV,all wheel drive,1687.81720877,2.6695399999999996,0.52,0.35,2.6,0.0,0.19,2483.623022705055,0.4180312500000001,1265.8629065774999,1.9994108690081327,1.5794806726662827,579.0
BMW X3,gas,SUV,all wheel drive,2095.5967494,2.8651199999999997,0.52,0.35,2.6,0.0,0.19,3083.6706167421003,0.4180312500000001,1571.6975620500002,2.425037371625403,1.922300515410532,619.0
BMW X4,gas,SUV,all wheel drive,2081.9889783000003,2.8651199999999997,0.52,0.35,2.6,0.0,0.19,3063.646781568451,0.4180312500000001,1561.4917337250004,2.410834040058643,1.9108604761643386,619.0
BMW X5,gas,SUV,all wheel drive,2460.7386072500003,2.9718,0.52,0.35,2.6,0.0,0.19,3620.9768605683757,0.4180312500000001,1845.5539554375002,2.8061601020001565,2.229274901850043,788.0
BMW X6,gas,SUV,all wheel drive,2438.05898875,2.9718,0.52,0.35,2.6,0.0,0.19,3587.603801945625,0.4180312500000001,1828.5442415625,2.7824878827222204,2.210208169773053,788.0
BMW X7,gas,SUV,all wheel drive,2567.78640657,3.10388,0.52,0.35,2.6,0.0,0.19,3778.497697267755,0.4180312500000001,1925.8398049275002,2.9178929769920074,2.3192698772534257,788.0
BMW Z4,gas,Convertible,rear wheel drive,1568.06882309,2.46888,0.53,0.31,2.1,0.0,0.2,2197.912897927787,0.5980684915332882,2261.8451130287276,2.142062747830948,1.550074722962065,493.0
Buick Enclave,gas,SUV,all wheel drive,2125.0802534500003,3.07086,0.52,0.35,2.6,0.0,0.19,3127.055592951676,0.4180312500000001,1593.8101900875004,2.45581125668672,1.9470872671106165,780.0
Buick Encore,gas,SUV,front wheel drive,1468.27850169,2.55524,0.52,0.35,2.6,0.0,0.19,2260.3542052888793,0.8361137514526893,2283.9933890821208,2.2959877724900966,1.6343009373638722,503.0
Buick Envision,gas,SUV,front wheel drive,1703.23934935,2.7508199999999996,0.52,0.35,2.6,0.0,0.19,2613.485156200313,0.8361066808772395,2642.4107909419495,2.587218576667077,1.85113149384658,622.0
Buick Regal Sportback,gas,Hatchback,front wheel drive,1700.0642027600002,2.82956,0.54,0.3,2.1,0.0,0.21000000000000002,2607.816626709013,0.5788431439339742,2635.0675929051604,2.4613067962728885,1.7941605928915711,586.0
Buick Regal TourX,gas,Wagon,all wheel drive,1681.92050796,2.82956,0.56,0.29,2.2,0.0,0.23000000000000004,2474.94602746314,0.29308125,1261.44038097,1.9345490759716741,1.548608962757821,586.0
Cadillac CT4,gas,Sedan,rear wheel drive,1569.88319257,2.77622,0.55,0.27,2.2,0.0,0.22000000000000003,2210.247707654359,0.545703087441524,2274.071397957279,2.1275649794414013,1.5467633814736286,626.0
Cadillac CT5,gas,Sedan,rear wheel drive,1659.69448183,2.9463999999999997,0.55,0.27,2.2,0.0,0.22000000000000003,2342.5409216061753,0.5457049494726257,2408.92038328548,2.236802093178234,1.6280440292210308,611.0
Cadillac CT6,gas,Sedan,all wheel drive,1807.56559445,3.10896,0.55,0.27,2.2,0.0,0.22000000000000003,2659.832772233175,0.27286875000000005,1355.6741958375,2.0561964475910512,1.650046629710617,690.0
Cadillac CT6-V,gas,Sedan,all wheel drive,2027.5578939,3.10896,0.55,0.27,2.2,0.0,0.22000000000000003,2983.55144087385,0.27286875000000005,1520.668420425,2.285816974587016,1.8349939308574053,690.0
Cadillac Escalade,gas,SUV,rear wheel drive,2530.1382398600003,2.9463999999999997,0.52,0.35,2.6,0.0,0.19,3575.3005620730205,0.8360297878731057,3672.414996639225,3.392695520410747,2.44624268484316,935.0
Cadillac Escalade ESV,gas,SUV,rear wheel drive,2644.89710947,3.302,0.52,0.35,2.6,0.0,0.19,3753.511318103867,0.8360312071471575,3852.329243632451,3.5394499017244643,2.555587730850319,1115.0
Cadillac XT4,gas,SUV,front wheel drive,1660.1480742,2.77876,0.52,0.35,2.6,0.0,0.19,2546.2702860170684,0.8361078277265668,2574.674237369784,2.531896334044214,1.8099009231080863,572.0
Cadillac XT6,gas,SUV,front wheel drive,2014.40371517,2.86258,0.52,0.35,2.6,0.0,0.19,3085.7906867197835,0.8360998558875898,3120.875514913264,2.976527013210309,2.14106151507208,683.0
Chevrolet Blazer,gas,SUV,front wheel drive,1778.0820904000002,2.86258,0.52,0.35,2.6,0.0,0.19,2723.7783138801065,0.8361048211049856,2754.7909061867385,2.6782782052194096,1.9188909482279175,698.0
Chevrolet Camaro,gas,Coupe,rear wheel drive,1519.98803187,2.81178,0.52,0.26,2.0,0.0,0.19,2143.7978755827276,0.47771888563641374,2202.689380574962,2.0399212680640653,1.4915288127807693,683.0
Chevrolet Colorado,gas,Truck (Extended Cab),rear wheel drive,1789.42189965,3.25882,0.7,0.42,2.8,0.0,0.36999999999999994,2522.1504788309176,1.0803902287527476,2605.440950627182,2.639396485406794,1.8504238030514182,755.0
Chevrolet Corvette,gas,Convertible,rear wheel drive,2026.19711679,2.72288,0.53,0.31,2.1,0.0,0.2,2852.6853898600184,0.5980770282999048,2933.187802806926,2.683616388163173,1.9526966706814737,665.0
Chevrolet Equinox,gas,SUV,front wheel drive,1485.06141938,2.7254199999999997,0.52,0.35,2.6,0.0,0.19,2279.616929267238,0.836113172207791,2304.7213294957414,2.312142624385676,1.6462281202513094,536.0
Chevrolet Malibu,gas,Sedan,front wheel drive,1417.92974862,2.82956,0.55,0.27,2.2,0.0,0.22000000000000003,2175.9979530222736,0.5457721423420601,2197.88509752925,2.089890483129084,1.5222463321759574,568.0
