Vehicle,Engine,Body,Drive,M,2a,CoG,c_D,A_F,E_f
Nissan Pathfinder,gas,SUV,four wheel drive,2113.28685183,2.90068,0.52,0.35,2.6,701.0
Nissan Rogue,gas,SUV,front wheel drive,1570.7903773100002,2.7051,0.52,0.35,2.6,521.0
Nissan Rogue Sport,gas,SUV,front wheel drive,1479.16471857,2.64668,0.52,0.35,2.6,521.0
Nissan Sentra,gas,Sedan,front wheel drive,1382.09595139,2.71272,0.55,0.27,2.2,446.0
Nissan Titan,gas,Truck (Crew Cab),rear wheel drive,2619.04234438,3.55092,0.7,0.42,2.8,935.0
Nissan Titan XD,gas,Truck (Crew Cab),four wheel drive,3104.83977265,3.85064,0.7,0.42,2.8,935.0
Nissan Versa,gas,Sedan,front wheel drive,1178.8865696300002,2.61874,0.55,0.27,2.2,388.0
Porsche 718 Boxster,gas,Convertible,rear wheel drive,1370.30254977,2.47396,0.53,0.31,2.1,511.0
Porsche 718 Cayman,gas,Coupe,rear wheel drive,1376.1992505800001,2.47396,0.52,0.26,2.0,511.0
Porsche 911,gas,Coupe,rear wheel drive,1521.34880898,2.4511,0.52,0.26,2.0,608.0
Porsche Cayenne,gas,SUV,all wheel drive,2078.36023934,2.8956,0.52,0.35,2.6,852.0
Porsche Cayenne Coupe,gas,SUV,all wheel drive,2115.1012213100003,2.8956,0.52,0.35,2.6,852.0
Porsche Macan,gas,SUV,all wheel drive,1859.2751246300002,2.8066999999999998,0.52,0.35,2.6,712.0
Porsche Panamera,gas,Sedan,rear wheel drive,1885.5834820900002,2.94894,0.55,0.27,2.2,852.0
Ram 1500,gas,Truck (Crew Cab),rear wheel drive,2223.96339011,3.8989,0.7,0.42,2.8,935.0
Ram 1500 Classic,gas,Truck (Quad Cab),rear wheel drive,2224.87057485,3.556,0.7,0.42,2.8,935.0
Rolls-Royce Ghost,gas,Sedan,rear wheel drive,2490.2221113,3.2943799999999994,0.55,0.27,2.2,784.0
Rolls-Royce Phantom,gas,Sedan,rear wheel drive,2560.07533628,3.55092,0.55,0.27,2.2,856.0
Subaru Ascent,gas,SUV,all wheel drive,2009.4141991000001,2.89052,0.52,0.35,2.6,694.0
Subaru BRZ,gas,Coupe,rear wheel drive,1288.2023308,2.57048,0.52,0.26,2.0,475.0
Subaru Crosstrek,gas,SUV,all wheel drive,1446.0524755600002,2.66446,0.52,0.35,2.6,597.0
Subaru Forester,gas,SUV,all wheel drive,1564.44008413,2.6695399999999996,0.52,0.35,2.6,597.0
Subaru Impreza,gas,Sedan,all wheel drive,1349.89089312,2.6695399999999996,0.55,0.27,2.2,475.0
Subaru Legacy,gas,Sedan,all wheel drive,1587.1197026300001,2.7508199999999996,0.55,0.27,2.2,665.0
Subaru Outback,gas,SUV,all wheel drive,1648.3546725800002,2.7457399999999996,0.52,0.35,2.6,665.0
Subaru WRX,gas,Sedan,all wheel drive,1494.13326678,2.6492199999999997,0.55,0.27,2.2,572.0
Toyota 4Runner,gas,SUV,rear wheel drive,2052.50547425,2.7889199999999996,0.52,0.35,2.6,827.0
Toyota 86,gas,Coupe,rear wheel drive,1259.17241912,2.57048,0.52,0.26,2.0,475.0
Toyota Avalon,gas,Sedan,front wheel drive,1660.1480742,2.8702,0.55,0.27,2.2,568.0
Toyota C-HR,gas,SUV,front wheel drive,1496.8548210000001,2.63906,0.52,0.35,2.6,475.0
Toyota Camry,gas,Sedan,front wheel drive,1470.09287117,2.82448,0.55,0.27,2.2,521.0
Toyota Corolla,gas,Sedan,front wheel drive,1319.9537967,2.70002,0.55,0.27,2.2,475.0
Toyota Corolla Hatchback,gas,Hatchback,front wheel drive,1387.9926522,2.63906,0.54,0.3,2.1,475.0
Toyota GR Supra,gas,Coupe,rear wheel drive,1540.8532808900002,2.46888,0.52,0.26,2.0,493.0
Toyota Highlander,gas,SUV,all wheel drive,1964.0549621,2.8498799999999997,0.52,0.35,2.6,644.0
Toyota Land Cruiser,gas,SUV,four wheel drive,2637.63963155,2.8498799999999997,0.52,0.35,2.6,885.0
Toyota RAV4,gas,SUV,all wheel drive,1639.7364175500002,2.68986,0.52,0.35,2.6,521.0
Toyota Sequoia,gas,SUV,four wheel drive,2714.75033445,3.0987999999999998,0.52,0.35,2.6,949.0
Toyota Tacoma,gas,Truck (Double Cab),rear wheel drive,1896.0161066,3.23596,0.7,0.42,2.8,759.0
Toyota Tundra,gas,Truck (CrewMax),four wheel drive,2571.8687379000003,3.7007799999999995,0.7,0.42,2.8,1367.0
Toyota Yaris,gas,Sedan,front wheel drive,1081.81780245,2.57048,0.55,0.27,2.2,417.0
Toyota Yaris Hatchback,gas,Hatchback,front wheel drive,1086.80731852,2.57048,0.54,0.3,2.1,417.0
Volkswagen Arteon,gas,Hatchback,all wheel drive,1748.14499398,2.83718,0.54,0.3,2.1,626.0
Volkswagen Golf GTI,gas,Hatchback,front wheel drive,1388.8998369400001,2.6314399999999996,0.54,0.3,2.1,475.0
