Vehicle,Engine,Body,Drive,M,2a,CoG,c_D,A_F,E_f
MINI Cooper Countryman,gas,Wagon,front wheel drive,1339.91186098,2.59588,0.56,0.29,2.2,446.0
MINI Cooper Paceman,gas,Hatchback,front wheel drive,1333.5615678000001,2.59588,0.54,0.3,2.1,446.0
Porsche Boxster,gas,Convertible,rear wheel drive,1309.97476456,2.47396,0.53,0.31,2.1,608.0
Porsche Cayman,gas,Coupe,rear wheel drive,1309.97476456,2.47396,0.52,0.26,2.0,608.0
Rolls-Royce Phantom Coupe,gas,Coupe,rear wheel drive,2628.56778415,3.3197799999999997,0.52,0.26,2.0,949.0
Scion FR-S,gas,Coupe,rear wheel drive,1251.00775646,2.57048,0.52,0.26,2.0,475.0
Scion iA,gas,Sedan,front wheel drive,1081.81780245,2.57048,0.55,0.27,2.2,417.0
Scion iM,gas,Hatchback,front wheel drive,1374.83847347,2.60096,0.54,0.3,2.1,503.0
Scion tC,gas,Hatchback,front wheel drive,1417.02256388,2.70002,0.54,0.3,2.1,521.0
Volkswagen Eos,gas,Convertible,front wheel drive,1591.20203396,2.5781,0.53,0.31,2.1,521.0
Volvo S80,gas,Sedan,front wheel drive,1686.9100240300002,2.83464,0.55,0.27,2.2,665.0
Volvo XC70,gas,Wagon,all wheel drive,1783.07160647,2.81432,0.56,0.29,2.2,665.0
Aston Martin DB9,gas,Coupe,rear wheel drive,1784.88597595,2.74066,0.52,0.26,2.0,741.0
Bentley Continental GT3-R,gas,Coupe,all wheel drive,2194.93347843,2.7457399999999996,0.52,0.26,2.0,863.0
Cadillac CTS-V Coupe,gas,Coupe,rear wheel drive,1912.79902429,2.88036,0.52,0.26,2.0,647.0
Ferrari 458 Italia,gas,Convertible,rear wheel drive,1534.95658008,2.6492199999999997,0.53,0.31,2.1,816.0
Ferrari FF,gas,Coupe,all wheel drive,1880.1403736500001,2.98958,0.52,0.26,2.0,863.0
Honda Crosstour,gas,Hatchback,front wheel drive,1679.65254611,2.79654,0.54,0.3,2.1,665.0
INFINITI Q40,gas,Sedan,all wheel drive,1733.17644577,2.8498799999999997,0.55,0.27,2.2,719.0
Jaguar XK-Series,gas,Convertible,rear wheel drive,1779.89645988,2.7508199999999996,0.53,0.31,2.1,579.0
Jeep Patriot,gas,SUV,four wheel drive,1510.91618447,2.6339799999999998,0.52,0.35,2.6,485.0
Land Rover LR2,gas,SUV,all wheel drive,1774.90694381,2.65938,0.52,0.35,2.6,665.0
McLaren 650S Coupe,gas,Coupe,rear wheel drive,1467.82490932,2.6695399999999996,0.52,0.26,2.0,683.0
McLaren 650S Spider,gas,Convertible,rear wheel drive,1369.8489574,2.6695399999999996,0.53,0.31,2.1,683.0
Mercedes-Benz GLK-Class,gas,SUV,rear wheel drive,1845.21376116,2.7559,0.52,0.35,2.6,626.0
Mercedes-Benz M-Class,gas,SUV,all wheel drive,2155.01734987,2.91592,0.52,0.35,2.6,885.0
Mercedes-Benz SLK-Class,gas,Convertible,rear wheel drive,1470.09287117,2.43078,0.53,0.31,2.1,665.0
MINI Cooper Coupe,gas,Hatchback,front wheel drive,1159.83569009,2.4663399999999998,0.54,0.3,2.1,475.0
MINI Cooper Roadster,gas,Convertible,front wheel drive,1195.2158949500001,2.4663399999999998,0.53,0.31,2.1,475.0
Mitsubishi Lancer Evolution,gas,Sedan,all wheel drive,1599.82028899,2.6492199999999997,0.55,0.27,2.2,521.0
Nissan Rogue Select,gas,SUV,all wheel drive,1554.91464436,2.68986,0.52,0.35,2.6,572.0
Scion xB,gas,Wagon,front wheel drive,1398.87886908,2.60096,0.56,0.29,2.2,503.0
Subaru XV Crosstrek,gas,SUV,all wheel drive,1455.12432296,2.6339799999999998,0.52,0.35,2.6,572.0
Toyota Venza,gas,Wagon,front wheel drive,1705.5073112,2.77622,0.56,0.29,2.2,637.0
